areaCode,areaName,areaType,date,newCasesBySpecimenDate
E07000079,Cotswold,ltla,2021-10-02,6
E07000079,Cotswold,ltla,2021-10-01,25
E07000079,Cotswold,ltla,2021-09-30,25
E07000079,Cotswold,ltla,2021-09-29,20
E07000079,Cotswold,ltla,2021-09-28,37
E07000079,Cotswold,ltla,2021-09-27,37
E07000079,Cotswold,ltla,2021-09-26,36
E07000079,Cotswold,ltla,2021-09-25,45
E07000079,Cotswold,ltla,2021-09-24,57
E07000079,Cotswold,ltla,2021-09-23,33
E07000079,Cotswold,ltla,2021-09-22,35
E07000079,Cotswold,ltla,2021-09-21,20
E07000079,Cotswold,ltla,2021-09-20,18
E07000079,Cotswold,ltla,2021-09-19,25
E07000079,Cotswold,ltla,2021-09-18,31
E07000079,Cotswold,ltla,2021-09-17,33
E07000079,Cotswold,ltla,2021-09-16,19
E07000079,Cotswold,ltla,2021-09-15,11
E07000079,Cotswold,ltla,2021-09-14,14
E07000079,Cotswold,ltla,2021-09-13,24
E07000079,Cotswold,ltla,2021-09-12,17
E07000079,Cotswold,ltla,2021-09-11,10
E07000079,Cotswold,ltla,2021-09-10,29
E07000079,Cotswold,ltla,2021-09-09,40
E07000079,Cotswold,ltla,2021-09-08,22
E07000079,Cotswold,ltla,2021-09-07,21
E07000079,Cotswold,ltla,2021-09-06,44
E07000079,Cotswold,ltla,2021-09-05,33
E07000079,Cotswold,ltla,2021-09-04,46
E07000079,Cotswold,ltla,2021-09-03,48
E07000079,Cotswold,ltla,2021-09-02,64
E07000079,Cotswold,ltla,2021-09-01,42
E07000079,Cotswold,ltla,2021-08-31,43
E07000079,Cotswold,ltla,2021-08-30,41
E07000079,Cotswold,ltla,2021-08-29,30
E07000079,Cotswold,ltla,2021-08-28,29
E07000079,Cotswold,ltla,2021-08-27,24
E07000079,Cotswold,ltla,2021-08-26,36
E07000079,Cotswold,ltla,2021-08-25,36
E07000079,Cotswold,ltla,2021-08-24,45
E07000079,Cotswold,ltla,2021-08-23,46
E07000079,Cotswold,ltla,2021-08-22,25
E07000079,Cotswold,ltla,2021-08-21,27
E07000079,Cotswold,ltla,2021-08-20,32
E07000079,Cotswold,ltla,2021-08-19,34
E07000079,Cotswold,ltla,2021-08-18,49
E07000079,Cotswold,ltla,2021-08-17,60
E07000079,Cotswold,ltla,2021-08-16,56
E07000079,Cotswold,ltla,2021-08-15,19
E07000079,Cotswold,ltla,2021-08-14,31
E07000079,Cotswold,ltla,2021-08-13,31
E07000079,Cotswold,ltla,2021-08-12,27
E07000079,Cotswold,ltla,2021-08-11,32
E07000079,Cotswold,ltla,2021-08-10,38
E07000079,Cotswold,ltla,2021-08-09,45
E07000079,Cotswold,ltla,2021-08-08,21
E07000079,Cotswold,ltla,2021-08-07,31
E07000079,Cotswold,ltla,2021-08-06,23
E07000079,Cotswold,ltla,2021-08-05,21
E07000079,Cotswold,ltla,2021-08-04,26
E07000079,Cotswold,ltla,2021-08-03,21
E07000079,Cotswold,ltla,2021-08-02,28
E07000079,Cotswold,ltla,2021-08-01,20
E07000079,Cotswold,ltla,2021-07-31,21
E07000079,Cotswold,ltla,2021-07-30,18
E07000079,Cotswold,ltla,2021-07-29,27
E07000079,Cotswold,ltla,2021-07-28,18
E07000079,Cotswold,ltla,2021-07-27,22
