,LEVEL,0,1
1,JPMorgan,Analyst1,50
3,JPMorgan,Analyst2,55
5,JPMorgan,Analyst3,60
7,JPMorgan,Associate1,90
9,JPMorgan,Associate2,105
11,JPMorgan,Associate3,120
13,JPMorgan,VP1,145
15,JPMorgan,VP2,155
17,JPMorgan,VP3,160
19,GoldmanSachs,Analyst1,50
21,GoldmanSachs,Analyst2,60
23,GoldmanSachs,Analyst3,N/A
25,GoldmanSachs,Associate1,91
27,GoldmanSachs,Associate2,106
29,GoldmanSachs,Associate3,122
31,GoldmanSachs,VP1,150
33,GoldmanSachs,VP2,150
35,GoldmanSachs,VP3,150
37,MorganStanley,Analyst1,50
39,MorganStanley,Analyst2,55
41,MorganStanley,Analyst3,N/A
43,MorganStanley,Associate1,98
45,MorganStanley,Associate2,123
47,MorganStanley,Associate3,123
49,MorganStanley,VP1,170
51,MorganStanley,VP2,170
53,MorganStanley,VP3,170
55,BAML,Analyst1,62.5
57,BAML,Analyst2,65.5
59,BAML,Analyst3,N/A
61,BAML,Associate1,105
63,BAML,Associate2,120
65,BAML,Associate3,135
67,BAML,VP1,165
69,BAML,VP2,165
71,BAML,VP3,165
73,CITI,Analyst1,50
75,CITI,Analyst2,55
77,CITI,Analyst3,60
79,CITI,Associate1,90
81,CITI,Associate2,105
83,CITI,Associate3,120
85,CITI,VP1,135
87,CITI,VP2,150
89,CITI,VP3,150
91,DeutscheBan,Analyst1,50
93,DeutscheBan,Analyst2,55
95,DeutscheBan,Analyst3,N/A
97,DeutscheBan,Associate1,90
99,DeutscheBan,Associate2,105
101,DeutscheBan,Associate3,120
103,DeutscheBan,VP1,140
105,DeutscheBan,VP2,155
107,DeutscheBan,VP3,155
109,Barclays,Analyst1,50
111,Barclays,Analyst2,55
113,Barclays,Analyst3,60
115,Barclays,Associate1,90
117,Barclays,Associate2,105
119,Barclays,Associate3,120
121,Barclays,VP1,140
123,Barclays,VP2,145
125,Barclays,VP3,155
127,CreditSuisse,Analyst1,50
129,CreditSuisse,Analyst2,55
131,CreditSuisse,Analyst3,60
133,CreditSuisse,Associate1,90
135,CreditSuisse,Associate2,105
137,CreditSuisse,Associate3,120
139,CreditSuisse,VP1,150
141,CreditSuisse,VP2,150
143,CreditSuisse,VP3,150
145,UBS,Analyst1,50
147,UBS,Analyst2,58
149,UBS,Analyst3,60
151,UBS,Associate1,95
153,UBS,Associate2,110
155,UBS,Associate3,122
157,UBS,VP1,150
159,UBS,VP2,150
161,UBS,VP3,150
